"TRIBUNAL SUPREMO DE ELECCIONES, REPÚBLICA DE COSTA RICA"
"Corte # 24-lunes, 7 de febrero de 2022, 12:00 p.m."
Elecciones legislativas - Resultados provisionales
Lugar: GUANACASTE
"Partido político","Votos","%"
"LIBERACIÓN NACIONAL","23.724","26,14%"
"UNIDAD SOCIAL CRISTIANA","15.237","16,79%"
"PROGRESO SOCIAL DEMOCRÁTICO","11.285","12,44%"
"NUEVA REPÚBLICA","8.693","9,58%"
"UNIÓN GUANACASTECA","6.791","7,48%"
"FRENTE AMPLIO","3.785","4,17%"
"LIBERAL PROGRESISTA","3.099","3,42%"
"ACCESIBILIDAD SIN EXCLUSIÓN","2.133","2,35%"
"RESTAURACIÓN NACIONAL","1.841","2,03%"
"ACCIÓN CIUDADANA","1.816","2,00%"
"REPUBLICANO SOCIAL CRISTIANO","1.736","1,91%"
"COSTA RICA JUSTA","1.444","1,59%"
"FUERZA NACIONAL","1.421","1,57%"
"INTEGRACIÓN NACIONAL","1.102","1,21%"
"NUEVA GENERACIÓN","957","1,05%"
"JUSTICIA SOCIAL COSTARRICENSE","956","1,05%"
"UNIDOS PODEMOS","948","1,04%"
"MOVIMIENTO LIBERTARIO","705","0,78%"
"UNIÓN COSTARRICENSE DEMOCRÁTICA","646","0,71%"
"UNIÓN LIBERAL","539","0,59%"
"MOVIMIENTO SOCIAL DEMÓCRATA COSTARRICENSE","511","0,56%"
"ENCUENTRO NACIONAL","394","0,43%"
"ALIANZA DEMÓCRATA CRISTIANA","379","0,42%"
"PUEBLO UNIDO","207","0,23%"
"DE LOS TRABAJADORES","199","0,22%"
"NUESTRO PUEBLO","196","0,22%"
"Juntas Procesadas","423" 
"Juntas faltantes","157" 
"Votos recibidos","93.676" 
"Votos válidos","90.744"
"Nulos y blancos","2.932" 
"% Participación","51,63"
"% Abstencionismo","48,37"
