"TRIBUNAL SUPREMO DE ELECCIONES, REPÚBLICA DE COSTA RICA"
"Corte # 24-lunes, 7 de febrero de 2022, 12:00 p.m."
Elecciones legislativas - Resultados provisionales
Lugar: PUNTARENAS
"Partido político","Votos","%"
"LIBERACIÓN NACIONAL","29.602","23,08%"
"NUEVA REPÚBLICA","21.650","16,88%"
"UNIDAD SOCIAL CRISTIANA","17.437","13,59%"
"PROGRESO SOCIAL DEMOCRÁTICO","14.720","11,48%"
"FRENTE AMPLIO","6.862","5,35%"
"RESTAURACIÓN NACIONAL","6.058","4,72%"
"ALIANZA DEMÓCRATA CRISTIANA","5.778","4,50%"
"REPUBLICANO SOCIAL CRISTIANO","3.501","2,73%"
"ACCIÓN CIUDADANA","3.470","2,71%"
"LIBERAL PROGRESISTA","3.349","2,61%"
"NUEVA GENERACIÓN","3.042","2,37%"
"COSTA RICA JUSTA","2.178","1,70%"
"JUSTICIA SOCIAL COSTARRICENSE","1.289","1,00%"
"ENCUENTRO NACIONAL","1.228","0,96%"
"INTEGRACIÓN NACIONAL","1.159","0,90%"
"FUERZA NACIONAL","1.033","0,81%"
"NUESTRO PUEBLO","926","0,72%"
"ACCESIBILIDAD SIN EXCLUSIÓN","867","0,68%"
"UNIÓN LIBERAL","839","0,65%"
"MOVIMIENTO LIBERTARIO","734","0,57%"
"MOVIMIENTO SOCIAL DEMÓCRATA COSTARRICENSE","692","0,54%"
"UNIDOS PODEMOS","661","0,52%"
"UNIÓN COSTARRICENSE DEMOCRÁTICA","563","0,44%"
"PUEBLO UNIDO","338","0,26%"
"DE LOS TRABAJADORES","293","0,23%"
"Juntas Procesadas","607" 
"Juntas faltantes","134" 
"Votos recibidos","132.063" 
"Votos válidos","128.269"
"Nulos y blancos","3.794" 
"% Participación","49,16"
"% Abstencionismo","50,84"
