"TRIBUNAL SUPREMO DE ELECCIONES, REPÚBLICA DE COSTA RICA"
"Corte # 24-lunes, 7 de febrero de 2022, 12:00 p.m."
Elecciones legislativas - Resultados provisionales
Lugar: ALAJUELA
"Partido político","Votos","%"
"LIBERACIÓN NACIONAL","90.070","26,11%"
"PROGRESO SOCIAL DEMOCRÁTICO","64.367","18,66%"
"UNIDAD SOCIAL CRISTIANA","39.422","11,43%"
"NUEVA REPÚBLICA","37.277","10,80%"
"LIBERAL PROGRESISTA","30.151","8,74%"
"FRENTE AMPLIO","23.564","6,83%"
"REPUBLICANO SOCIAL CRISTIANO","6.237","1,81%"
"ACCIÓN CIUDADANA","6.173","1,79%"
"RESTAURACIÓN NACIONAL","5.626","1,63%"
"INTEGRACIÓN NACIONAL","4.852","1,41%"
"UNIÓN LIBERAL","3.875","1,12%"
"ACCESIBILIDAD SIN EXCLUSIÓN","3.679","1,07%"
"COSTA RICA JUSTA","3.611","1,05%"
"SOMOS","3.561","1,03%"
"NUEVA GENERACIÓN","3.520","1,02%"
"MOVIMIENTO SOCIAL DEMÓCRATA COSTARRICENSE","3.158","0,92%"
"FUERZA NACIONAL","2.550","0,74%"
"MOVIMIENTO LIBERTARIO","2.280","0,66%"
"UNIDOS PODEMOS","2.186","0,63%"
"ALIANZA DEMÓCRATA CRISTIANA","1.931","0,56%"
"JUSTICIA SOCIAL COSTARRICENSE","1.758","0,51%"
"PUEBLO UNIDO","1.540","0,45%"
"NUESTRO PUEBLO","1.182","0,34%"
"DE LOS TRABAJADORES","1.019","0,30%"
"ENCUENTRO NACIONAL","902","0,26%"
"UNIÓN COSTARRICENSE DEMOCRÁTICA","531","0,15%"
"Juntas Procesadas","1.126" 
"Juntas faltantes","219" 
"Votos recibidos","351.774" 
"Votos válidos","345.022"
"Nulos y blancos","6.752" 
"% Participación","62,44"
"% Abstencionismo","37,56"
