"TRIBUNAL SUPREMO DE ELECCIONES, REPÚBLICA DE COSTA RICA"
"Corte # 24-lunes, 7 de febrero de 2022, 12:00 p.m."
Elecciones legislativas - Resultados provisionales
Lugar: HEREDIA
"Partido político","Votos","%"
"LIBERACIÓN NACIONAL","44.320","25,92%"
"PROGRESO SOCIAL DEMOCRÁTICO","23.790","13,91%"
"LIBERAL PROGRESISTA","21.823","12,76%"
"UNIDAD SOCIAL CRISTIANA","18.771","10,98%"
"FRENTE AMPLIO","18.075","10,57%"
"NUEVA REPÚBLICA","14.305","8,37%"
"ACCIÓN CIUDADANA","3.946","2,31%"
"RESTAURACIÓN NACIONAL","3.762","2,20%"
"UNIDOS PODEMOS","2.819","1,65%"
"ACCESIBILIDAD SIN EXCLUSIÓN","2.702","1,58%"
"ENCUENTRO NACIONAL","2.241","1,31%"
"UNIÓN LIBERAL","2.069","1,21%"
"COSTA RICA JUSTA","1.997","1,17%"
"NUEVA GENERACIÓN","1.986","1,16%"
"REPUBLICANO SOCIAL CRISTIANO","1.483","0,87%"
"FUERZA NACIONAL","1.365","0,80%"
"JUSTICIA SOCIAL COSTARRICENSE","1.069","0,63%"
"MOVIMIENTO LIBERTARIO","913","0,53%"
"INTEGRACIÓN NACIONAL","808","0,47%"
"ALIANZA DEMÓCRATA CRISTIANA","619","0,36%"
"PUEBLO UNIDO","482","0,28%"
"NUESTRO PUEBLO","479","0,28%"
"MOVIMIENTO SOCIAL DEMÓCRATA COSTARRICENSE","426","0,25%"
"DE LOS TRABAJADORES","419","0,25%"
"UNIÓN COSTARRICENSE DEMOCRÁTICA","311","0,18%"
"Juntas Procesadas","484" 
"Juntas faltantes","160" 
"Votos recibidos","173.369" 
"Votos válidos","170.980"
"Nulos y blancos","2.389" 
"% Participación","65,80"
"% Abstencionismo","34,20"
