"TRIBUNAL SUPREMO DE ELECCIONES, REPÚBLICA DE COSTA RICA"
"Corte # 24-lunes, 7 de febrero de 2022, 12:00 p.m."
Elecciones legislativas - Resultados provisionales
Lugar: CARTAGO
"Partido político","Votos","%"
"LIBERACIÓN NACIONAL","52.736","26,40%"
"UNIDAD SOCIAL CRISTIANA","24.322","12,17%"
"PROGRESO SOCIAL DEMOCRÁTICO","21.134","10,58%"
"FRENTE AMPLIO","18.377","9,20%"
"LIBERAL PROGRESISTA","17.868","8,94%"
"NUEVA REPÚBLICA","11.456","5,73%"
"NUEVA GENERACIÓN","10.654","5,33%"
"ACCIÓN CIUDADANA","6.390","3,20%"
"RESTAURACIÓN NACIONAL","3.289","1,65%"
"ACCESIBILIDAD SIN EXCLUSIÓN","2.936","1,47%"
"ALIANZA DEMÓCRATA CRISTIANA","2.919","1,46%"
"UNIDOS PODEMOS","2.860","1,43%"
"INTEGRACIÓN NACIONAL","2.608","1,31%"
"REPUBLICANO SOCIAL CRISTIANO","2.437","1,22%"
"RENOVACIÓN CARTAGO","2.254","1,13%"
"FUERZA NACIONAL","2.235","1,12%"
"MOVIMIENTO LIBERTARIO","2.049","1,03%"
"COSTA RICA JUSTA","2.022","1,01%"
"ENCUENTRO NACIONAL","1.911","0,96%"
"UNIÓN LIBERAL","1.855","0,93%"
"JUSTICIA SOCIAL COSTARRICENSE","1.563","0,78%"
"ACTUEMOS YA","1.300","0,65%"
"MOVIMIENTO SOCIAL DEMÓCRATA COSTARRICENSE","1.264","0,63%"
"NUEVO PARTIDO SOCIALISTA-CARTAGO","829","0,41%"
"NUESTRO PUEBLO","751","0,38%"
"UNIÓN COSTARRICENSE DEMOCRÁTICA","659","0,33%"
"PUEBLO UNIDO","649","0,32%"
"DE LOS TRABAJADORES","450","0,23%"
"Juntas Procesadas","599" 
"Juntas faltantes","172" 
"Votos recibidos","204.482" 
"Votos válidos","199.777"
"Nulos y blancos","4.705" 
"% Participación","65,12"
"% Abstencionismo","34,88"
