"TRIBUNAL SUPREMO DE ELECCIONES, REPÚBLICA DE COSTA RICA"
"Corte # 24-lunes, 7 de febrero de 2022, 12:00 p.m."
Elecciones legislativas - Resultados provisionales
Lugar: LIMON
"Partido político","Votos","%"
"LIBERACIÓN NACIONAL","22.156","20,22%"
"NUEVA REPÚBLICA","17.262","15,75%"
"UNIDAD SOCIAL CRISTIANA","14.319","13,07%"
"PROGRESO SOCIAL DEMOCRÁTICO","9.012","8,23%"
"RECUPERANDO VALORES","6.619","6,04%"
"FRENTE AMPLIO","5.551","5,07%"
"JUSTICIA SOCIAL COSTARRICENSE","4.581","4,18%"
"RESTAURACIÓN NACIONAL","4.472","4,08%"
"INTEGRACIÓN NACIONAL","2.924","2,67%"
"COSTA RICA JUSTA","2.873","2,62%"
"NUEVA GENERACIÓN","2.768","2,53%"
"LIBERAL PROGRESISTA","2.525","2,30%"
"ACCIÓN CIUDADANA","2.399","2,19%"
"REPUBLICANO SOCIAL CRISTIANO","1.985","1,81%"
"ACCESIBILIDAD SIN EXCLUSIÓN","1.457","1,33%"
"UNIDOS PODEMOS","1.341","1,22%"
"ALIANZA DEMÓCRATA CRISTIANA","1.233","1,13%"
"FUERZA NACIONAL","1.220","1,11%"
"UNIÓN LIBERAL","931","0,85%"
"NUESTRO PUEBLO","765","0,70%"
"MOVIMIENTO SOCIAL DEMÓCRATA COSTARRICENSE","611","0,56%"
"MOVIMIENTO LIBERTARIO","476","0,43%"
"UNIÓN COSTARRICENSE DEMOCRÁTICA","476","0,43%"
"ENCUENTRO NACIONAL","472","0,43%"
"PUEBLO UNIDO","468","0,43%"
"DE LOS TRABAJADORES","360","0,33%"
"IZQUIERDA COSTARRICENSE","310","0,28%"
"Juntas Procesadas","439" 
"Juntas faltantes","134" 
"Votos recibidos","112.964" 
"Votos válidos","109.566"
"Nulos y blancos","3.398" 
"% Participación","51,14"
"% Abstencionismo","48,86"
