"TRIBUNAL SUPREMO DE ELECCIONES, REPÚBLICA DE COSTA RICA"
"Corte # 24-lunes, 7 de febrero de 2022, 12:00 p.m."
Elecciones legislativas - Resultados provisionales
Lugar: SAN JOSE
"Partido político","Votos","%"
"LIBERACIÓN NACIONAL","142.191","24,24%"
"PROGRESO SOCIAL DEMOCRÁTICO","99.773","17,01%"
"LIBERAL PROGRESISTA","68.855","11,74%"
"FRENTE AMPLIO","59.123","10,08%"
"UNIDAD SOCIAL CRISTIANA","55.447","9,45%"
"NUEVA REPÚBLICA","53.391","9,10%"
"ACCIÓN CIUDADANA","11.032","1,88%"
"ACCESIBILIDAD SIN EXCLUSIÓN","10.557","1,80%"
"FUERZA NACIONAL","9.235","1,57%"
"UNIÓN LIBERAL","9.195","1,57%"
"RESTAURACIÓN NACIONAL","8.279","1,41%"
"NUEVA GENERACIÓN","7.804","1,33%"
"REPUBLICANO SOCIAL CRISTIANO","6.817","1,16%"
"UNIDOS PODEMOS","6.295","1,07%"
"COSTA RICA JUSTA","5.258","0,90%"
"INTEGRACIÓN NACIONAL","4.180","0,71%"
"VAMOS","4.098","0,70%"
"MOVIMIENTO LIBERTARIO","3.961","0,68%"
"JUSTICIA SOCIAL COSTARRICENSE","3.357","0,57%"
"MOVIMIENTO SOCIAL DEMÓCRATA COSTARRICENSE","2.839","0,48%"
"NUESTRO PUEBLO","2.782","0,47%"
"ALIANZA DEMÓCRATA CRISTIANA","2.162","0,37%"
"PUEBLO UNIDO","1.844","0,31%"
"DE LOS TRABAJADORES","1.683","0,29%"
"NUEVO PARTIDO SOCIALISTA","1.495","0,25%"
"ANTICORRUPCIÓN COSTARRICENSE","1.411","0,24%"
"ENCUENTRO NACIONAL","1.301","0,22%"
"UNIÓN COSTARRICENSE DEMOCRÁTICA","1.263","0,22%"
"UNIDOS POR COSTA RICA","869","0,15%"
"Juntas Procesadas","1.738" 
"Juntas faltantes","375" 
"Votos recibidos","595.784" 
"Votos válidos","586.497"
"Nulos y blancos","9.287" 
"% Participación","63,18"
"% Abstencionismo","36,82"
